epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,0.1263210028409958,0.3616999387741089
1,0.0010000000474974513,0.049969788640737534,0.35002267360687256
2,0.0010000000474974513,0.031459398567676544,0.3441217541694641
3,0.0010000000474974513,0.02744111604988575,0.32550862431526184
4,0.0010000000474974513,0.027111776173114777,0.3172231614589691
5,0.0010000000474974513,0.022088540717959404,0.3053416311740875
6,0.0010000000474974513,0.022255342453718185,0.2463402897119522
7,0.0010000000474974513,0.017869673669338226,0.3037497103214264
8,0.0010000000474974513,0.02011597529053688,0.23889927566051483
9,0.0010000000474974513,0.013786018826067448,0.22150802612304688
10,0.0010000000474974513,0.013929901644587517,0.24287888407707214
11,0.0010000000474974513,0.013678780756890774,0.2163262814283371
12,0.0010000000474974513,0.011870457790791988,0.20185652375221252
13,0.0010000000474974513,0.011915632523596287,0.14554287493228912
14,0.0010000000474974513,0.011038442142307758,0.12815481424331665
15,0.0010000000474974513,0.011458724737167358,0.11711318045854568
16,0.0010000000474974513,0.010409547947347164,0.09701357781887054
17,0.0010000000474974513,0.010696369223296642,0.07383250445127487
18,0.0010000000474974513,0.009378575719892979,0.0676608756184578
19,0.0010000000474974513,0.00897232349961996,0.05019582435488701
20,0.0010000000474974513,0.008286301977932453,0.034397728741168976
21,0.0010000000474974513,0.00735832192003727,0.021527551114559174
22,0.0010000000474974513,0.007910632528364658,0.010366013273596764
23,0.0010000000474974513,0.0071214232593774796,0.005859660916030407
24,0.0010000000474974513,0.00686807231977582,0.00694154342636466
25,0.0010000000474974513,0.007081933785229921,0.004541391972452402
26,0.0010000000474974513,0.0070121739991009235,0.001958549255505204
27,0.0010000000474974513,0.006410925183445215,0.002061809878796339
28,0.0010000000474974513,0.0064839995466172695,0.0018996779108420014
29,0.0010000000474974513,0.0066318754106760025,0.0024710961151868105
30,0.0010000000474974513,0.00625819806009531,0.0037720713298767805
31,0.0010000000474974513,0.006519428454339504,0.002117881551384926
32,0.00010000000474974513,0.004932300187647343,0.0020777767058461905
33,0.00010000000474974513,0.005131250247359276,0.0019203706178814173
34,0.00010000000474974513,0.005267785396426916,0.002121840137988329
35,0.00010000000474974513,0.005155229941010475,0.0019986832048743963
36,0.00010000000474974513,0.004759321454912424,0.0018616154557093978
37,1.0000000656873453e-05,0.004942763596773148,0.0019243959104642272
38,1.0000000656873453e-05,0.005360041745007038,0.0019579213112592697
39,1.0000000656873453e-05,0.005934045650064945,0.0019891501870006323
40,1.0000000656873453e-05,0.005453751888126135,0.0019622682593762875
41,1.0000000656873453e-05,0.005193083081394434,0.001973392441868782
42,1.0000001111620804e-06,0.004937875550240278,0.00197642226703465
43,1.0000001111620804e-06,0.004851647652685642,0.001994485268369317
44,1.0000001111620804e-06,0.005287422798573971,0.001970788463950157
45,1.0000001111620804e-06,0.005309760104864836,0.001988302217796445
46,1.0000001111620804e-06,0.005279334727674723,0.0019898368045687675
